id,kind,replacedBy,type,dataType,group,status,uiName,appUiName,description,calculation,minTemplateIndex,maxTemplateIndex,premiumMinTemplateIndex,premiumMaxTemplateIndex,allowedInSegments
ga:userType,analytics#column,,DIMENSION,STRING,User,PUBLIC,User Type,,"A boolean indicating if a user is new or returning. Possible values: New Visitor, Returning Visitor.",,,,,,true
ga:visitorType,analytics#column,ga:userType,DIMENSION,STRING,User,DEPRECATED,User Type,,"A boolean indicating if a user is new or returning. Possible values: New Visitor, Returning Visitor.",,,,,,true
ga:sessionCount,analytics#column,,DIMENSION,STRING,User,PUBLIC,Count of Sessions,,"The session index for a user to your property. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indicies. For example, if a certain user has 4 sessions to your website, sessionCount for that user will have 4 distinct values of '1' through '4'.",,,,,,true
ga:visitCount,analytics#column,ga:sessionCount,DIMENSION,STRING,User,DEPRECATED,Count of Sessions,,"The session index for a user to your property. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indicies. For example, if a certain user has 4 sessions to your website, sessionCount for that user will have 4 distinct values of '1' through '4'.",,,,,,true
ga:daysSinceLastSession,analytics#column,,DIMENSION,STRING,User,PUBLIC,Days Since Last Session,,The number of days elapsed since users last visited your property. Used to calculate user loyalty.,,,,,,true
ga:daysSinceLastVisit,analytics#column,ga:daysSinceLastSession,DIMENSION,STRING,User,DEPRECATED,Days Since Last Session,,The number of days elapsed since users last visited your property. Used to calculate user loyalty.,,,,,,true
ga:userDefinedValue,analytics#column,,DIMENSION,STRING,User,PUBLIC,User Defined Value,,The value provided when you define custom user segments for your property.,,,,,,true
ga:users,analytics#column,,METRIC,INTEGER,User,PUBLIC,Users,,Total number of users to your property for the requested time period.,,,,,,
ga:visitors,analytics#column,ga:users,METRIC,INTEGER,User,DEPRECATED,Users,,Total number of users to your property for the requested time period.,,,,,,
ga:newUsers,analytics#column,,METRIC,INTEGER,User,PUBLIC,New Users,,The number of users whose session on your property was marked as a first-time session.,,,,,,true
ga:newVisits,analytics#column,ga:newUsers,METRIC,INTEGER,User,DEPRECATED,New Users,,The number of users whose session on your property was marked as a first-time session.,,,,,,true
ga:percentNewSessions,analytics#column,,METRIC,PERCENT,User,PUBLIC,% New Sessions,,The percentage of sessions by people who had never visited your property before.,ga:newUsers / ga:sessions,,,,,
ga:percentNewVisits,analytics#column,ga:percentNewSessions,METRIC,PERCENT,User,DEPRECATED,% New Sessions,,The percentage of sessions by people who had never visited your property before.,ga:newUsers / ga:sessions,,,,,
ga:sessionDurationBucket,analytics#column,,DIMENSION,STRING,Session,PUBLIC,Session Duration,,The length of a session on your property measured in seconds and reported in second increments. The value returned is a string.,,,,,,true
ga:visitLength,analytics#column,ga:sessionDurationBucket,DIMENSION,STRING,Session,DEPRECATED,Session Duration,,The length of a session on your property measured in seconds and reported in second increments. The value returned is a string.,,,,,,true
ga:sessions,analytics#column,,METRIC,INTEGER,Session,PUBLIC,Sessions,,Counts the total number of sessions.,,,,,,true
ga:visits,analytics#column,ga:sessions,METRIC,INTEGER,Session,DEPRECATED,Sessions,,Counts the total number of sessions.,,,,,,true
ga:bounces,analytics#column,,METRIC,INTEGER,Session,PUBLIC,Bounces,,The total number of single page (or single engagement hit) sessions for your property.,,,,,,true
ga:entranceBounceRate,analytics#column,ga:bounceRate,METRIC,PERCENT,Session,DEPRECATED,Bounce Rate,,This dimension is deprecated and will be removed soon. Please use ga:bounceRate instead.,ga:bounces / ga:entrances,,,,,
ga:bounceRate,analytics#column,,METRIC,PERCENT,Session,PUBLIC,Bounce Rate,,"The percentage of single-page session (i.e., session in which the person left your property from the first page).",ga:bounces / ga:sessions,,,,,
ga:visitBounceRate,analytics#column,ga:bounceRate,METRIC,PERCENT,Session,DEPRECATED,Bounce Rate,,"The percentage of single-page session (i.e., session in which the person left your property from the first page).",ga:bounces / ga:sessions,,,,,
ga:sessionDuration,analytics#column,,METRIC,TIME,Session,PUBLIC,Session Duration,,The total duration of user sessions represented in total seconds.,,,,,,true
ga:timeOnSite,analytics#column,ga:sessionDuration,METRIC,TIME,Session,DEPRECATED,Session Duration,,The total duration of user sessions represented in total seconds.,,,,,,true
ga:avgSessionDuration,analytics#column,,METRIC,TIME,Session,PUBLIC,Avg. Session Duration,,The average duration of user sessions represented in total seconds.,ga:sessionDuration / ga:sessions,,,,,
ga:avgTimeOnSite,analytics#column,ga:avgSessionDuration,METRIC,TIME,Session,DEPRECATED,Avg. Session Duration,,The average duration of user sessions represented in total seconds.,ga:sessionDuration / ga:sessions,,,,,
ga:referralPath,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Referral Path,,"The path of the referring URL (e.g. document.referrer). If someone places a link to your property on their website, this element contains the path of the page that contains the referring link.",,,,,,true
ga:fullReferrer,analytics#column,,DIMENSION,STRING,Traffic Sources,PUBLIC,Full Referrer,,The full referring URL including the hostname and path.,,,,,,
